Ancillary Current Router
Anti-EM Pump
Anti-EM Screen Reinforcer
Anti-Explosive Pump
Anti-Explosive Screen Reinforcer
Anti-Kinetic Pump
Anti-Kinetic Screen Reinforcer
Anti-Thermal Screen Reinforcer
Anti-Thermic Pump
Aauxiliary Nano Pump
Auxiliary Thrusters
Loading Bay Accelerator
Capacitor Control Circuit
Cargohold Optimization
Core Defense Capacitor Safeguard
Core Defense Charge Economizer
Core Defense Field Extender
Core Defense Field Purger
Core Defense Operational Solidifier
Drone Control Range Augmentor
Drone Durability Enhancer
Drone Mining Augmentor
Drone Repair Augmentor
Drone Scope Chip
Drone Speed Augmentor
Dynamic Fuel Valve
Egress Port maximizer
Emission Scope Sharpener
Energy Ambit Extension
Energy Burst Aerator
Energy Collision Accelerator
Energy Discharge Elutriation
Energy Locus Coordinator
Energy Metastasis Adjuster
Engine Thermal Shielding
Gravity Capacitor Upgrade
Higgs Anchor
Hybrid Ambit Extension
Hybrid Burst Aerator
Hybrid Collision Accelerator
Hybrid Discharge Elutriation
Hybrid Locus Coordinator
Hybrid Metastasis Adjuster
Hydraulic Bay Thrusters
Hyperspatial Velocity Optimizer
Inverted Signal Field Projector
Ionic Field Projector
Liquid Cooled Electornics
Low Friction Nozzle Joints
Amemetic Algorithm Bank
Nanobot Accelerator
Particle Dispersion Augmentor
Particle Dispersion Projector
Polycarbon Engine Housing
Powergrid Subroutine Maximizer
Processor Overclocking unit
Projectile Ambit Extension
Projetile Burst Aerator
Projectile Collision Accelerator
Projectile Locus Coordinator
Projectile Metastasis Adjuster
Remote Repair Augmentor
Rocket Fuel Cache Partition
Salvage Tackle
Semiconductor Memory Cell
Sentry Damage Augmentor
Signal Dispersion Amplifier
Signal Focusing Kit
Stasis Drone Augmentor
Targeting System Subcontroller
Targeting Systems Stabilizer
Tracking Diagnostic Subroutines
Transverse Bulkhead
Trimark Armor Pump
Warhead Calefaction Catalyst
Warhead Flare Catalyst
Warhead Rigor Catalyst
Warp Core Optimizer
